Pheno	ID	REF	ALT	A1	FIRTH.	TEST	OBS_CT	nCases	OR	LOG.OR._SE	L95	U95	Z_STAT	P	ERRCODE	mlog10P	FDR_BY
C3_THYROID_PAPILLARY_ADENO	KIR_2DL3	P	A	P	Y	ADD	336732	1366	0.672513	0.0989322	0.553974	0.816417	-4.01016	6.06783e-05	.	4.21696659517208	1
K11_CARIES_1_OPER	KIR_2DS2	P	A	P	N	ADD	336732	143046	1.02856	0.00727472	1.014	1.04333	3.87074	0.000108507	.	3.96454224372042	1
K11_CARIES_1_OPER	KIR_2DL2	P	A	P	N	ADD	336732	143046	1.02812	0.00729659	1.01352	1.04293	3.8007	0.000144289	.	3.84076677646988	1
G6_MIGRAINE_NO_AURA_ADVERSE	KIR_2DS4	P	A	P	Y	ADD	336732	283	0.525061	0.177912	0.370485	0.744129	-3.62113	0.000293319	.	3.53265980429562	1
G6_MIGRAINE_NO_AURA_ADVERSE	KIR_3DL1	P	A	P	Y	ADD	336732	283	0.52519	0.1779	0.370585	0.744295	-3.61998	0.000294623	.	3.5307333525946	1
G6_CLUSTHEADACHE_STRICT_INCLAVO	KIR_2DS2	P	A	P	N	ADD	336732	1212	0.802252	0.0612212	0.71154	0.904529	-3.59895	0.000319507	.	3.49551962255074	1
R18_DELAY_MILES_CHILDH	KIR_2DL2	P	A	P	Y	ADD	336732	511	1.42008	0.0995572	1.16834	1.72606	3.52271	0.000427151	.	3.36941857257628	1
C3_OESOPHAGUS	KIR_2DS4	P	A	P	Y	ADD	336732	598	2.27031	0.233771	1.43582	3.58981	3.50734	0.000452603	.	3.34428257172657	1
C3_OESOPHAGUS	KIR_3DL1	P	A	P	Y	ADD	336732	598	2.26917	0.233724	1.43523	3.58768	3.5059	0.00045506	.	3.34193133751656	1
K11_CARIES_3_OPER	KIR_2DS2	P	A	P	N	ADD	336732	133993	1.02589	0.00731791	1.01128	1.04071	3.49309	0.000477457	.	3.32106573508258	1
R18_DELAY_MILES_CHILDH	KIR_2DS2	P	A	P	Y	ADD	336732	511	1.41258	0.0992613	1.16284	1.71594	3.47986	0.000501681	.	3.29957234655329	1
G6_CLUSTHEADACHE_STRICT_INCLAVO	KIR_2DL2	P	A	P	N	ADD	336732	1212	0.808042	0.0613746	0.71646	0.911331	-3.4728	0.000515062	.	3.28814049010987	1
K11_PULPITIS_3	KIR_2DP1	P	A	P	Y	ADD	336732	4752	0.694763	0.105698	0.564763	0.854687	-3.44552	0.000569972	.	3.24414647861554	1
K11_CARIES_3_OPER	KIR_2DL2	P	A	P	N	ADD	336732	133993	1.02551	0.00733992	1.01087	1.04037	3.43243	0.000598189	.	3.2231615774017	1
G6_CLUSTHEADACHE_WIDE_INCLAVO	KIR_2DS2	P	A	P	N	ADD	336732	1297	0.820198	0.0588562	0.730836	0.920486	-3.3677	0.000757985	.	3.12033938867096	1
